model,max_depth,min_samples_leaf,max_features,mean_mae,std_mae
RandomForest,8,1,sqrt,3.7335,0.9026
RandomForest,8,1,log2,3.7335,0.9026
RandomForest,8,2,sqrt,3.6858,0.9975
RandomForest,8,2,log2,3.6858,0.9975
RandomForest,8,4,sqrt,3.6986,1.0799
RandomForest,8,4,log2,3.6986,1.0799
RandomForest,10,1,sqrt,3.7421,0.9456
RandomForest,10,1,log2,3.7421,0.9456
RandomForest,10,2,sqrt,3.6754,1.0008
RandomForest,10,2,log2,3.6754,1.0008
RandomForest,10,4,sqrt,3.6986,1.0799
RandomForest,10,4,log2,3.6986,1.0799
RandomForest,12,1,sqrt,3.7295,0.9256
RandomForest,12,1,log2,3.7295,0.9256
RandomForest,12,2,sqrt,3.6754,1.0008
RandomForest,12,2,log2,3.6754,1.0008
RandomForest,12,4,sqrt,3.6986,1.0799
RandomForest,12,4,log2,3.6986,1.0799
GradientBoosting,8,1,,5.1645,1.154
GradientBoosting,8,2,,4.1083,0.9369
GradientBoosting,8,4,,4.1314,0.6524
GradientBoosting,10,1,,5.192,1.0112
GradientBoosting,10,2,,4.0833,0.9656
GradientBoosting,10,4,,4.1245,0.6648
GradientBoosting,12,1,,5.1578,1.03
GradientBoosting,12,2,,4.0484,0.9343
GradientBoosting,12,4,,4.1137,0.6658
