Image,Marches prédites (ML),Vérité terrain,Écart absolu
Groupe5_image07.jpg,10,11,1
Groupe5_image05.jpg,14,7,7
Groupe5_image03.jpg,27,38,11
Groupe5_image02.jpg,6,4,2
Groupe5_image15.jpeg,9,8,1
Groupe5_image13.jpeg,7,3,4
Groupe5_image04.jpg,9,6,3
Groupe5_image17.jpeg,11,13,2
Groupe5_image09.jpg,10,8,2
Groupe5_image16.jpeg,9,10,1
Groupe5_image10.jpeg,8,14,6
Groupe5_image11.jpeg,12,13,1
Groupe5_image08.jpg,10,14,4
Groupe5_image18.jpeg,9,8,1
Groupe5_image12.jpeg,13,15,2
Groupe5_image01.jpg,10,9,1
Groupe5_image14.jpeg,7,4,3
Groupe5_image06.jpg,8,5,3
t3i9.jpg,20,21,1
t3i16.png,5,4,1
t3i1.jpg,10,11,1
t3i13.jpg,6,4,2
t3i11.jpeg,11,6,5
t3i21.jpeg,13,14,1
t3i8.jpg,17,17,0
t3i6.jpg,6,4,2
t3i23.jpg,10,12,2
t3i12.jpg,7,5,2
t3i24.jpg,11,10,1
t3i25.jpg,6,7,1
t3i4.jpg,14,10,4
t3i29.jpg,11,12,1
t3i10.jpg,23,34,11
t3i26.jpg,9,8,1
t3i30.jpg,8,7,1
t3i14.jpeg,6,4,2
t3i15.jpg,7,5,2
t3i2.jpg,11,12,1
t3i3.jpg,9,7,2
t3i19.png,5,4,1
t3i17.png,6,3,3
t3i5.jpg,11,5,6
t3i20.png,6,2,4
t3i27.jpg,8,7,1
t3i18.png,6,3,3
t3i28.jpg,9,8,1
t3i22.png,8,7,1
t3i7.jpg,9,22,13
Groupe6_image1.jpg,15,15,0
Groupe6_image2.jpg,9,7,2
Groupe6_image7.jpg,7,7,0
Groupe6_image6.jpg,13,9,4
Groupe6_image10.jpg,9,8,1
Groupe6_image9.jpg,11,10,1
Groupe6_image5.jpg,8,7,1
Groupe6_image3.jpg,11,11,0
Groupe6_image8.jpg,10,10,0
Groupe6_image4.jpg,9,9,0
grp7img2.jpeg,10,11,1
grp7img5.jpeg,10,10,0
grp7img11.jpg,9,6,3
grp7img12.jpg,18,22,4
grp7img3.jpeg,10,15,5
grp7img4.jpeg,3,2,1
grp7img1.jpeg,11,15,4
grp7img10.jpg,12,10,2
Groupe1_Image6.jpg,7,6,1
Groupe1_Image4.jpg,12,12,0
Groupe1_Image3.jpg,11,13,2
Groupe1_Image5.jpg,12,12,0
Groupe1_Image1.jpg,11,11,0
Groupe1_Image7.jpg,8,6,2
Groupe1_Image2.jpg,9,8,1
Groupe1_Image10.jpg,11,15,4
Groupe1_Image8.jpg,13,17,4
Groupe1_Image9.jpg,12,9,3
Groupe2_Image10.jpg,11,10,1
Groupe2_Image8.jpg,10,9,1
Groupe2_Image3.jpeg,11,9,2
Groupe2_Image9.jpg,9,9,0
Groupe2_Image7.jpeg,11,10,1
Groupe2_Image11.jpg,10,9,1
Groupe2_Image1.jpeg,4,4,0
Groupe2_Image5.jpeg,10,8,2
Groupe2_Image4.png,8,6,2
Groupe2_Image12.png,8,7,1
Groupe2_Image13.png,13,16,3
Groupe2_Image2.jpeg,9,7,2
Groupe2_Image6.jpeg,9,10,1
img2.jpg,10,10,0
img7.png,10,11,1
img8.png,10,10,0
img6.jpg,10,11,1
img1.png,9,8,1
img5.jpg,12,5,7
img4.jpg,28,37,9
img9.png,11,12,1
img3.png,18,22,4
